"properties/province","properties/district","properties/sub_district","properties/village","properties/area_sawah","properties/product","","",""
"JAWA TIMUR","MALANG","LAWANG","SRIGADING","23.0","95.2","","",""
"JAWA TIMUR","MALANG","LAWANG","SUMBERNGEPOH","123.0","509.2","","",""
"JAWA TIMUR","MALANG","LAWANG","SUMBERPORONG","76.0","314.6","","",""
"JAWA TIMUR","MALANG","LAWANG","TURIREJO","22.0","91.1","","",""
"JAWA TIMUR","MALANG","LAWANG","WONOREJO","0","0","","",""
"JAWA TIMUR","MALANG","NGAJUM","BABADAN","99.0","409.9","","",""
"JAWA TIMUR","MALANG","NGAJUM","BELESARI","48.0","198.7","","",""
"JAWA TIMUR","MALANG","NGAJUM","BANJARSARI","161.0","666.5","","",""
"JAWA TIMUR","MALANG","NGAJUM","KESAMBEN","151.0","625.1","","",""
"JAWA TIMUR","MALANG","NGAJUM","KRANGGAN","177.0","732.8","","",""
"JAWA TIMUR","MALANG","NGAJUM","MAGUAN","103.0","426.4","","",""
"JAWA TIMUR","MALANG","NGAJUM","NGAJUM","546.0","2,260.4","","",""
"JAWA TIMUR","MALANG","NGAJUM","NGASEM","285.0","1,179.9","","",""
"JAWA TIMUR","MALANG","NGAJUM","PALAAN","105.0","434.7","","",""
"JAWA TIMUR","MALANG","NGANTANG","BANJAREJO","89.0","368.5","","",""
"JAWA TIMUR","MALANG","NGANTANG","BANTUREJO","55.0","227.7","","",""
"JAWA TIMUR","MALANG","NGANTANG","JOMBOK","135.0","558.9","","",""
"JAWA TIMUR","MALANG","NGANTANG","KAUMREJO","48.0","198.7","","",""
"JAWA TIMUR","MALANG","NGANTANG","MULYOREJO","102.0","422.3","","",""
"JAWA TIMUR","MALANG","NGANTANG","NGANTRU","124.0","513.4","","",""
"JAWA TIMUR","MALANG","NGANTANG","PAGERSARI","54.0","223.6","","",""
"JAWA TIMUR","MALANG","NGANTANG","PANDANSARI","84.0","347.8","","",""
"JAWA TIMUR","MALANG","NGANTANG","PURWOREJO","97.0","401.6","","",""
"JAWA TIMUR","MALANG","NGANTANG","SIDODADI","124.0","513.4","","",""
"JAWA TIMUR","MALANG","NGANTANG","SUMBERAGUNG","107.0","443.0","","",""
"JAWA TIMUR","MALANG","NGANTANG","TULUNGREJO","112.0","463.7","","",""
"JAWA TIMUR","MALANG","NGANTANG","WATUREJO","96.5","399.5","","",""
"JAWA TIMUR","MALANG","PAGAK","GAMPINGAN","9.0","37.3","","",""
"JAWA TIMUR","MALANG","PAGAK","PAGAK","17.0","70.4","","",""
"JAWA TIMUR","MALANG","PAGAK","PANDANREJO","112.0","463.7","","",""
"JAWA TIMUR","MALANG","PAGAK","SEMPOL","80.0","331.2","","",""
"JAWA TIMUR","MALANG","PAGAK","SUMBEREJO","10.0","41.4","","",""
"JAWA TIMUR","MALANG","PAGAK","SUMBERKERTO","0","0","","",""
"JAWA TIMUR","MALANG","PAGAK","SUMBERMANJING KULON","267.0","1,105.4","","",""
"JAWA TIMUR","MALANG","PAGAK","TLOGOREJO","35.0","144.9","","",""
"JAWA TIMUR","MALANG","PAGELARAN","BALEARJO","138.0","571.3","","",""
"JAWA TIMUR","MALANG","PAGELARAN","BANJAREJO","283.0","1,171.6","","",""
"JAWA TIMUR","MALANG","PAGELARAN","BRONGKAL","320.0","1,324.8","","",""
"JAWA TIMUR","MALANG","PAGELARAN","CLUMPRIT","279.0","1,155.1","","",""
"JAWA TIMUR","MALANG","PAGELARAN","KADEMANGAN","377.0","1,560.8","","",""
"JAWA TIMUR","MALANG","PAGELARAN","KANIGORO","511.0","2,115.5","","",""
"JAWA TIMUR","MALANG","PAGELARAN","KARANGSUKO","292.0","1,208.9","","",""
"JAWA TIMUR","MALANG","PAGELARAN","PAGELARAN","248.0","1,026.7","","",""
"JAWA TIMUR","MALANG","PAGELARAN","SIDOREJO","125.0","517.5","","",""
"JAWA TIMUR","MALANG","PAGELARAN","SUWARU","77.0","318.8","","",""
"JAWA TIMUR","MALANG","PAKIS","AMPELDENTO","149.0","616.9","","",""
"JAWA TIMUR","MALANG","PAKIS","ASRIKATON","159.0","658.3","","",""
"JAWA TIMUR","MALANG","PAKIS","BANJAREJO","245.0","1,014.3","","",""
"JAWA TIMUR","MALANG","PAKIS","BUNUTWETAN","89.0","368.5","","",""
"JAWA TIMUR","MALANG","PAKIS","KEDUNGREJO","66.0","273.2","","",""
"JAWA TIMUR","MALANG","PAKIS","MANGLIAWAN","83.0","343.6","","",""
"JAWA TIMUR","MALANG","PAKIS","PAKIS JAJAR","63.0","260.8","","",""
"JAWA TIMUR","MALANG","PAKIS","PAKIS KEMBAR","157.0","650.0","","",""
"JAWA TIMUR","MALANG","PAKIS","PUCANGSONGO","172.0","712.1","","",""
"JAWA TIMUR","MALANG","PAKIS","SAPTORENGGO","71.0","293.9","","",""
"JAWA TIMUR","MALANG","PAKIS","SEKARPURO","75.0","310.5","","",""
"JAWA TIMUR","MALANG","PAKIS","SUKOANYAR","247.0","1,022.6","","",""
"JAWA TIMUR","MALANG","PAKIS","SUMBERKRADENAN","144.0","596.2","","",""
"JAWA TIMUR","MALANG","PAKIS","SUMBERPASIR","235.8","976.1","","",""
"JAWA TIMUR","MALANG","PAKIS","TIRTOMOYO","0","0","","",""
"JAWA TIMUR","MALANG","PAKISAJI","GELANGGANG","130.6","540.8","","",""
"JAWA TIMUR","MALANG","PAKISAJI","GENENGAN","94.5","391.2","","",""
"JAWA TIMUR","MALANG","PAKISAJI","JATISARI","96.0","397.4","","",""
"JAWA TIMUR","MALANG","PAKISAJI","KARANGDUREN","181.5","751.4","","",""
"JAWA TIMUR","MALANG","PAKISAJI","KARANGPANDAN","153.0","633.4","","",""
"JAWA TIMUR","MALANG","PAKISAJI","KEBONAGUNG","219.0","906.7","","",""
"JAWA TIMUR","MALANG","PAKISAJI","KENDALPAYAK","192.1","795.3","","",""
"JAWA TIMUR","MALANG","PAKISAJI","PAKISAJI","85.0","351.9","","",""
"JAWA TIMUR","MALANG","PAKISAJI","PERMANU","130.1","538.7","","",""
"JAWA TIMUR","MALANG","PAKISAJI","SUTOJAYAN","189.0","782.5","","",""
"JAWA TIMUR","MALANG","PAKISAJI","WADUNG","155.0","641.7","","",""
"JAWA TIMUR","MALANG","PAKISAJI","WONOKERSO","163.8","677.9","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","ARGOSUKO","196.0","811.4","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","BELUNG","143.0","592.0","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","DAWUHAN","93.5","387.1","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","GUBUGKLAKAH","0","0","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","JAMBESARI","178.0","736.9","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","KARANGANYAR","147.0","608.6","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","KARANGNONGKO","164.8","682.1","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","NGADAS","0","0","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","NGADIRESO","81.0","335.3","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","NGEBRUK","176.0","728.6","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","PAJARAN","152.2","630.1","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","PANDANSARI","0","0","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","PONCOKUSUMO","0","0","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","SUMBEREJO","3.0","12.4","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","WONOMULYO","110.0","455.4","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","WONOREJO","65.0","269.1","","",""
"JAWA TIMUR","MALANG","PONCOKUSUMO","WRINGINANOM","0","0","","",""
"JAWA TIMUR","MALANG","PUJON","BENDOSARI","23.1","95.7","","",""
"JAWA TIMUR","MALANG","PUJON","MADIREDO","157.0","650.0","","",""
"JAWA TIMUR","MALANG","PUJON","NGABAB","92.5","383.0","","",""
"JAWA TIMUR","MALANG","PUJON","NGROTO","133.9","554.4","","",""
"JAWA TIMUR","MALANG","PUJON","PANDESARI","96.9","401.0","","",""
"JAWA TIMUR","MALANG","PUJON","PUJONKIDUL","116.8","483.6","","",""
"JAWA TIMUR","MALANG","PUJON","PUJONLOR","22.5","93.2","","",""
"JAWA TIMUR","MALANG","PUJON","SUKOMULYO","89.9","372.2","","",""
"JAWA TIMUR","MALANG","PUJON","TAWANGSARI","147.0","608.6","","",""
"JAWA TIMUR","MALANG","PUJON","WIYUREJO","195.5","809.4","","",""
"JAWA TIMUR","MALANG","SINGOSARI","ARDIMULYO","57.0","236.0","","",""
"JAWA TIMUR","MALANG","SINGOSARI","BANJARARUM","84.0","347.8","","",""
"JAWA TIMUR","MALANG","SINGOSARI","BATURETNO","28.0","115.9","","",""
"JAWA TIMUR","MALANG","SINGOSARI","CANDIRENGGO","78.0","322.9","","",""
"JAWA TIMUR","MALANG","SINGOSARI","DENGKOL","62.0","256.7","","",""
"JAWA TIMUR","MALANG","SINGOSARI","GUNUNGREJO","118.0","488.5","","",""
